Jaume_Alonso-Cuevillas Jaume_Alonso-Cuevillas NP00000 1.0
, , FC 1.0
al al SPCMS 1.0
que que PR0CN000 1.0
también también RG 1.0
asistieron asistir VMIS3P0 1.0
, , FC 1.0
entre entre SPS00 1.0
otros otro PI0MP000 1.0
, , FC 1.0
la el DA0FS0 1.0
consellera conseller NCFS000 1.0
de de SPS00 1.0
Justícia Justícia NP00000 1.0
, , FC 1.0
Núria_de_Gispert Núria_de_Gispert NP00000 1.0
, , FC 1.0
y y CC 1.0
el el DA0MS0 1.0
presidente presidente NCMS000 1.0
del del SPCMS 1.0
Consejo_de_la_Abogacía Consejo_de_la_Abogacía NP00000 1.0
, , FC 1.0
Eugeni_Gay Eugeni_Gay NP00000 1.0
. . FP 1.0
En en SPS00 1.0
el el DA0MS0 1.0
congreso congreso NCMS000 1.0
, , FC 1.0
cuyo cuyo PR0MS000 1.0
objetivo objetivo NCMS000 1.0
es ser VSIP3S0 1.0
elaborar elaborar VMN0000 1.0
las el DA0FP0 1.0
bases base NCCP000 1.0
de de SPS00 1.0
un uno DI0MS0 1.0
código código NCMS000 1.0
de de SPS00 1.0
autorregulación autorregulación NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
profesión profesión NCFS000 1.0
, , FC 1.0
están estar VMIP3P0 1.0
inscritos inscrito AQ0MPP 1.0
unos uno DI0MP0 1.0
1.200 1200  1.0
abogados abogado NCMP000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
25.300 25300  1.0
que que PR0CN000 1.0
ejercen ejercer VMIP3P0 1.0
en en SPS00 1.0
Catalunya Catalunya NP00000 1.0
. . FP 1.0
Durante durante SPS00 1.0
tres tres DN0CP0 1.0
días día NCMP000 1.0
debatirán debatir VMIF3P0 1.0
la el DA0FS0 1.0
pasantía pasantía NCFS000 1.0
, , FC 1.0
los el DA0MP0 1.0
honorarios honorario NCMP000 1.0
, , FC 1.0
la el DA0FS0 1.0
asistencia asistencia NCFS000 1.0
jurídica jurídico AQ0FS0 1.0
gratuita gratuito AQ0FS0 1.0
, , FC 1.0
la el DA0FS0 1.0
normalización normalización NCFS000 1.0
del del SPCMS 1.0
catalán catalán NCMS000 1.0
y y CC 1.0
otros otro DI0MP0 1.0
temas tema NCMP000 1.0
del del SPCMS 1.0
mundo mundo NCMS000 1.0
del del SPCMS 1.0
derecho derecho NCMS000 1.0
. . FP 1.0
La el DA0FS0 1.0
primera primero AO0FS0 1.0
medida medida NCFS000 1.0
votada votado AQ0FSP 1.0
ayer ayer RG 1.0
en en SPS00 1.0
el el DA0MS0 1.0
congreso congreso NCMS000 1.0
permitió permitir VMIS3S0 1.0
aprobar aprobar VMN0000 1.0
la el DA0FS0 1.0
legitimidad legitimidad NCFS000 1.0
del del SPCMS 1.0
colectivo colectivo NCMS000 1.0
para para SPS00 1.0
sacar_adelante sacar_adelante VMN0000 1.0
el el DA0MS0 1.0
código código NCMS000 1.0
de de SPS00 1.0
autorregulación autorregulación NCFS000 1.0
. . FP 1.0
Alonso-Cuevillas Alonso-Cuevillas NP00000 1.0
aseguró asegurar VMIS3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
abogacía abogacía NCFS000 1.0
debe deber VMIP3S0 1.0
adecuarse adecuar VMN0000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
sociedad sociedad NCFS000 1.0
actual actual AQ0CS0 1.0
para para SPS00 1.0
cambiar cambiar VMN0000 1.0
la el DA0FS0 1.0
" " FE 1.0
imagen imagen NCFS000 1.0
distorsionada distorsionado AQ0FSP 1.0
" " FE 1.0
que que PR0CN000 1.0
los el DA0MP0 1.0
ciudadanos ciudadano NCMP000 1.0
tienen tener VMIP3P0 1.0
del del SPCMS 1.0
colectivo colectivo NCMS000 1.0
. . FP 1.0
El el DA0MS0 1.0
decano decano NCMS000 1.0
del del SPCMS 1.0
colegio colegio NCMS000 1.0
barcelonés barcelonés AQ0MS0 1.0
aprovechó aprovechar VMIS3S0 1.0
la el DA0FS0 1.0
presencia presencia NCFS000 1.0
de de SPS00 1.0
Pujol Pujol NP00000 1.0
para para SPS00 1.0
reivindicar reivindicar VMN0000 1.0
una uno DI0FS0 1.0
partida partida NCFS000 1.0
presupuestaria presupuestaria AQ0FS0 1.0
mayor mayor AQ0CS0 1.0
, , FC 1.0
unos uno DI0MP0 1.0
5.000 5000  1.0
o o CC 1.0
6.000 6000  1.0
millones millón NCMP000 1.0
más más RG 1.0
de de SPS00 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
recibe recibir VMIP3S0 1.0
ahora ahora RG 1.0
, , FC 1.0
para para SPS00 1.0
la el DA0FS0 1.0
justicia justicia NCFS000 1.0
gratuita gratuito AQ0FS0 1.0
: : FD 1.0
" " FE 1.0
Es ser VSIP3S0 1.0
injusto injusto AQ0MS0 1.0
que que CS 1.0
los el DA0MP0 1.0
abogados abogado NCMP000 1.0
tengan tener VMSP3P0 1.0
que que CS 1.0
soportar soportar VMN0000 1.0
unos uno DI0MP0 1.0
costos costo NCMP000 1.0
que que PR0CN000 1.0
corresponden corresponder VMIP3P0 1.0
a a SPS00 1.0
la el DA0FS0 1.0
Administración Administración NP00000 1.0
. . FP 1.0
Debemos deber VMIP1P0 1.0
ser ser VSN0000 1.0
justamente justamente RG 1.0
retribuidos retribuido AQ0MPP 1.0
" " FE 1.0
. . FP 1.0
Los el DA0MP0 1.0
abogados abogado NCMP000 1.0
del del SPCMS 1.0
turno turno NCMS000 1.0
de de SPS00 1.0
oficio oficio NCMS000 1.0
cobran cobrar VMIP3P0 1.0
por por SPS00 1.0
sus su DP3CP0 1.0
servicios servicio NCMP000 1.0
alrededor_del alrededor_del SPCMS 1.0
25% 25/100 ZP 1.0
de de SPS00 1.0
sus su DP3CP0 1.0
honorarios honorario NCMP000 1.0
habituales habitual AQ0CP0 1.0
. . FP 1.0
Los el DA0MP0 1.0
letrados letrado NCMP000 1.0
piden pedir VMIP3P0 1.0
que que CS 1.0
la el DA0FS0 1.0
cantidad cantidad NCFS000 1.0
sea ser VSSP3S0 1.0
al_menos al_menos RG 1.0
el el DA0MS0 1.0
80% 80/100 ZP 1.0
. . FP 1.0
Alonso-Cuevillas Alonso-Cuevillas NP00000 1.0
también también RG 1.0
reivindicó reivindicar VMIS3S0 1.0
un uno DI0MS0 1.0
mejor mejor AQ0CS0 1.0
trato trato NCMS000 1.0
fiscal fiscal AQ0CS0 1.0
para para SPS00 1.0
los el DA0MP0 1.0
abogados abogado NCMP000 1.0
, , FC 1.0
a a SPS00 1.0
quienes quien PR0CP000 1.0
se se P0000000 1.0
les él PP3CPD00 1.0
retiene retener VMIP3S0 1.0
el el DA0MS0 1.0
20% 20/100 ZP 1.0
de de SPS00 1.0
los el DA0MP0 1.0
ingresos ingreso NCMP000 1.0
. . FP 1.0
" " FE 1.0
Es ser VSIP3S0 1.0
injusto injusto AQ0MS0 1.0
" " FE 1.0
, , FC 1.0
dijo decir VMIS3S0 1.0
. . FP 1.0
Los el DA0MP0 1.0
tributos tributo NCMP000 1.0
que que PR0CN000 1.0
los el DA0MP0 1.0
letrados letrado NCMP000 1.0
deben deber VMIP3P0 1.0
pagar pagar VMN0000 1.0
suponen suponer VMIP3P0 1.0
el el DA0MS0 1.0
50% 50/100 ZP 1.0
o o CC 1.0
60% 60  1.0
de de SPS00 1.0
los el DA0MP0 1.0
beneficios beneficio NCMP000 1.0
, , FC 1.0
según según SPS00 1.0
el el DA0MS0 1.0
decano decano NCMS000 1.0
. . FP 1.0
Añadió añadir VMIS3S0 1.0
que que CS 1.0
el el DA0MS0 1.0
Gobierno Gobierno NP00000 1.0
se él P0300000 1.0
comprometió comprometer VMIS3S0 1.0
a a SPS00 1.0
rebajar rebajar VMN0000 1.0
la el DA0FS0 1.0
retención retención NCFS000 1.0
al al SPCMS 1.0
18% 18/100 ZP 1.0
, , FC 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
, , FC 1.0
en en SPS00 1.0
su su DP3CS0 1.0
opinión opinión NCFS000 1.0
, , FC 1.0
no no RN 1.0
basta bastar VMIP3S0 1.0
. . FP 1.0
" " FE 1.0
Es ser VSIP3S0 1.0
un uno DI0MS0 1.0
trato trato NCMS000 1.0
confiscatorio confiscatorio AQ0MS0 1.0
" " FE 1.0
, , FC 1.0
afirmó afirmar VMIS3S0 1.0
, , FC 1.0
y y CC 1.0
apuntó apuntar VMIS3S0 1.0
la el DA0FS0 1.0
necesidad necesidad NCFS000 1.0
de de SPS00 1.0
un uno DI0MS0 1.0
pacto pacto NCMS000 1.0
de de SPS00 1.0
Estado Estado NP00000 1.0
sobre sobre SPS00 1.0
Justicia Justicia NP00000 1.0
. . FP 1.0
Pujol Pujol NP00000 1.0
recogió recoger VMIS3S0 1.0
el el DA0MS0 1.0
testigo testigo NCMS000 1.0
lanzado lanzado AQ0MSP 1.0
por por SPS00 1.0
Alonso-Cuevillas Alonso-Cuevillas NP00000 1.0
y y CC 1.0
se él P0300000 1.0
comprometió comprometer VMIS3S0 1.0
a a SPS00 1.0
seguir seguir VMN0000 1.0
el el DA0MS0 1.0
diálogo diálogo NCMS000 1.0
para para SPS00 1.0
resolver resolver VMN0000 1.0
las el DA0FP0 1.0
reivindicaciones reivindicación NCFP000 1.0
. . FP 1.0
" " FE 1.0
Me yo P010S000 1.0
lo él PP3MSA00 1.0
apunto apuntar VMIP1S0 1.0
" " FE 1.0
, , FC 1.0
señaló señalar VMIS3S0 1.0
. . FP 1.0
El el DA0MS0 1.0
president president NCMS000 1.0
recalcó recalcar VMIS3S0 1.0
que que CS 1.0
" " FE 1.0
el el DA0MS0 1.0
progreso progreso NCMS000 1.0
de de SPS00 1.0
un uno DI0MS0 1.0
país país NCMS000 1.0
depende depender VMIP3S0 1.0
de de SPS00 1.0
la el DA0FS0 1.0
calidad calidad NCFS000 1.0
de de SPS00 1.0
sus su DP3CP0 1.0
instituciones institución NCFP000 1.0
jurídicas jurídico AQ0FP0 1.0
" " FE 1.0
y y CC 1.0
dijo decir VMIS3S0 1.0
a a SPS00 1.0
los el DA0MP0 1.0
abogados abogado NCMP000 1.0
que que CS 1.0
pueden poder VMIP3P0 1.0
contar contar VMN0000 1.0
con con SPS00 1.0
su su DP3CS0 1.0
" " FE 1.0
colaboración colaboración NCFS000 1.0
y y CC 1.0
disponibilidad disponibilidad NCFS000 1.0
" " FE 1.0
. . FP 1.0
Pujol Pujol NP00000 1.0
explicó explicar VMIS3S0 1.0
el el DA0MS0 1.0
voto voto NCMS000 1.0
negativo negativo AQ0MS0 1.0
de de SPS00 1.0
CiU CiU NP00000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
reforma reforma NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
ley ley NCFS000 1.0
orgánica orgánico AQ0FS0 1.0
del del SPCMS 1.0
poder poder NCMS000 1.0
judicial judicial AQ0CS0 1.0
, , FC 1.0
que que PR0CN000 1.0
ha haber VAIP3S0 1.0
paralizado paralizar VMP00SM 1.0
la el DA0FS0 1.0
aplicación aplicación NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
ley ley NCFS000 1.0
de de SPS00 1.0
enjuiciamiento enjuiciamiento NCMS000 1.0
civil civil AQ0CS0 1.0
. . FP 1.0
Reconoció reconocer VMIS3S0 1.0
que que CS 1.0
en en SPS00 1.0
el el DA0MS0 1.0
texto texto NCMS000 1.0
de de SPS00 1.0
esta este DD0FS0 1.0
última último AO0FS0 1.0
normativa normativa NCFS000 1.0
hay haber VAIP3S0 1.0
" " FE 1.0
algunos alguno DI0MP0 1.0
anzuelos anzuelo NCMP000 1.0
" " FE 1.0
en en SPS00 1.0
temas tema NCFP000 1.0
que que PR0CN000 1.0
benefician beneficiar VMIP3P0 1.0
al al SPCMS 1.0
Govern Govern NP00000 1.0
, , FC 1.0
aunque aunque CS 1.0
avisó avisar VMIS3S0 1.0
: : FD 1.0
" " FE 1.0
No no RN 1.0
nos yo PP1CP000 1.0
pueden poder VMIP3P0 1.0
acusar acusar VMN0000 1.0
de de SPS00 1.0
desleales desleal AQ0CP0 1.0
" " FE 1.0
, , FC 1.0
en en SPS00 1.0
respuesta respuesta NCFS000 1.0
a a SPS00 1.0
unas uno DI0FP0 1.0
declaraciones declaración NCFP000 1.0
efectuadas efectuado AQ0FPP 1.0
por por SPS00 1.0
el el DA0MS0 1.0
portavoz portavoz NCCS000 1.0
del del SPCMS 1.0
Gobierno Gobierno NP00000 1.0
, , FC 1.0
Josep_Piqué Josep_Piqué NP00000 1.0
. . FP 1.0
Insistió insistir VMIS3S0 1.0
en en SPS00 1.0
que que CS 1.0
no no RN 1.0
se se P0000000 1.0
votó votar VMIS3S0 1.0
a_favor_de a_favor_de SPS00 1.0
la el DA0FS0 1.0
propuesta propuesta NCFS000 1.0
del del SPCMS 1.0
PP PP NP00000 1.0
porque porque CS 1.0
no no RN 1.0
existía existir VMII3S0 1.0
consenso consenso NCMS000 1.0
entre entre SPS00 1.0
los el DA0MP0 1.0
profesionales profesional NCCP000 1.0
del del SPCMS 1.0
derecho derecho NCMS000 1.0
. . FP 1.0
