Los el DA0MP0 1.0
vive vivir VMIP3S0 1.0
en en SPS00 1.0
Uruguay Uruguay NP00000 1.0
y y CC 1.0
es ser VSIP3S0 1.0
muy mucho RG 1.0
querida querido AQ0FSP 1.0
por por SPS00 1.0
sus su DP3CP0 1.0
padres padre NCMP000 1.0
adoptivos adoptivo AQ0MP0 1.0
" " FE 1.0
. . FP 1.0
La el DA0FS0 1.0
búsqueda búsqueda NCFS000 1.0
de de SPS00 1.0
Gelman Gelman NP00000 1.0
despertó despertar VMIS3S0 1.0
una uno DI0FS0 1.0
amplia amplio AQ0FS0 1.0
solidaridad solidaridad NCFS000 1.0
internacional internacional AQ0CS0 1.0
tras tras SPS00 1.0
la el DA0FS0 1.0
negativa negativa NCFS000 1.0
del del SPCMS 1.0
ex ex AQ0CN0 1.0
presidente presidente NCMS000 1.0
uruguayo uruguayo AQ0MS0 1.0
Sanguinetti Sanguinetti NP00000 1.0
a a SPS00 1.0
aportar aportar VMN0000 1.0
datos dato NCMP000 1.0
al al SPCMS 1.0
poeta poeta NCMS000 1.0
sobre sobre SPS00 1.0
el el DA0MS0 1.0
paradero paradero NCMS000 1.0
de de SPS00 1.0
su su DP3CS0 1.0
nieta nieta NCFS000 1.0
. . FP 1.0
Sanguinetti Sanguinetti NP00000 1.0
, , FC 1.0
poco poco RG 1.0
antes antes RG 1.0
del del SPCMS 1.0
traspaso traspaso NCMS000 1.0
de de SPS00 1.0
poderes poder NCMP000 1.0
, , FC 1.0
se él P0300000 1.0
limitó limitar VMIS3S0 1.0
a a SPS00 1.0
decir decir VMN0000 1.0
que que CS 1.0
" " FE 1.0
ningún ninguno DI0MS0 1.0
niño niño NCMS000 1.0
ha haber VAIP3S0 1.0
desaparecido desaparecer VMP00SM 1.0
en en SPS00 1.0
Uruguay Uruguay NP00000 1.0
" " FE 1.0
. . FP 1.0
Según según SPS00 1.0
estimaciones estimación NCFP000 1.0
de de SPS00 1.0
familiares familiar NCMP000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
víctimas víctima NCFP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
represión represión NCFS000 1.0
militar militar AQ0CS0 1.0
, , FC 1.0
141 141  1.0
uruguayos uruguayo NCMP000 1.0
desaparecieron desaparecer VMIS3P0 1.0
, , FC 1.0
entre entre SPS00 1.0
ellos él PP3MP000 1.0
siete siete DN0CP0 1.0
menores menor NCCP000 1.0
, , FC 1.0
como como CS 1.0
consecuencia consecuencia NCFS000 1.0
del del SPCMS 1.0
Plan_Cóndor Plan_Cóndor NP00000 1.0
, , FC 1.0
puesto_en_práctica puesto_en_práctica AQ0MSP 1.0
por por SPS00 1.0
las el DA0FP0 1.0
dictaduras dictadura NCFP000 1.0
suramericanas suramericano AQ0FP0 1.0
para para SPS00 1.0
librarse librar VMN0000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
oposición oposición NCFS000 1.0
. . FP 1.0
La el DA0FS0 1.0
noticia noticia NCFS000 1.0
del del SPCMS 1.0
hallazgo hallazgo NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
nieta nieta NCFS000 1.0
de de SPS00 1.0
Gelman Gelman NP00000 1.0
ha haber VAIP3S0 1.0
provocado provocar VMP00SM 1.0
una uno DI0FS0 1.0
auténtica auténtico AQ0FS0 1.0
conmoción conmoción NCFS000 1.0
en en SPS00 1.0
Uruguay Uruguay NP00000 1.0
, , FC 1.0
ya_que ya_que CS 1.0
es ser VSIP3S0 1.0
la el DA0FS0 1.0
primera primero AO0FS0 1.0
vez vez NCFS000 1.0
que que PR0CN000 1.0
un uno DI0MS0 1.0
presidente presidente NCMS000 1.0
asume asumir VMIP3S0 1.0
el el DA0MS0 1.0
problema problema NCMS000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
desaparecidos desaparecido AQ0MPP 1.0
. . FP 1.0
