Así así RG 1.0
del del SPCMS 1.0
grupo grupo NCMS000 1.0
de de SPS00 1.0
sustancias sustancia NCFP000 1.0
aislantes aislante AQ0CP0 1.0
. . FP 1.0
Otros otro DI0MP0 1.0
compuestos compuesto NCMP000 1.0
orgánicos orgánico AQ0MP0 1.0
, , FC 1.0
como como CS 1.0
el el DA0MS0 1.0
cis cis NCMN000 1.0
poliacetileno poliacetileno AQ0MS0 1.0
, , FC 1.0
muestran mostrar VMIP3P0 1.0
valores valor NCMP000 1.0
de de SPS00 1.0
conductividad conductividad NCFS000 1.0
superiores superior AQ0CP0 1.0
( ( FPA 1.0
a=109Scml a=109Scml NCCS000 1.0
) ) FPT 1.0
y y CC 1.0
muestran mostrar VMIP3P0 1.0
propiedades propiedad NCFP000 1.0
de de SPS00 1.0
semiconductores semiconductor NCMP000 1.0
. . FP 1.0
La el DA0FS0 1.0
tabla tabla NCFS000 1.0
también también RG 1.0
recoge recoger VMIP3S0 1.0
otros otro DI0MP0 1.0
compuestos compuesto NCMP000 1.0
pomméricos pommérico AQ0MP0 1.0
como como CS 1.0
el el DA0MS0 1.0
transpobacetileno transpobacetileno NCMS000 1.0
, , FC 1.0
pobfenileno pobfenileno NCMS000 1.0
o o CC 1.0
polipirrol polipirrol NCMS000 1.0
que que PR0CN000 1.0
, , FC 1.0
sometidos sometido AQ0MPP 1.0
al al SPCMS 1.0
proceso proceso NCMS000 1.0
de de SPS00 1.0
- - FG 1.0
dopado dopado NCMS000 1.0
- - FG 1.0
, , FC 1.0
muestran mostrar VMIP3P0 1.0
unos uno DI0MP0 1.0
valores valor NCMP000 1.0
de de SPS00 1.0
a a NC00000 1.0
próximos próximo AQ0MP0 1.0
al al SPCMS 1.0
de de SPS00 1.0
los el DA0MP0 1.0
metales metal NCMP000 1.0
. . FP 1.0
Por_último por_último RG 1.0
, , FC 1.0
un uno DI0MS0 1.0
pequeño pequeño AQ0MS0 1.0
grupo grupo NCMS000 1.0
de de SPS00 1.0
sustancias sustancia NCFP000 1.0
, , FC 1.0
como como CS 1.0
el el DA0MS0 1.0
complejo complejo NCMS000 1.0
CNQ-ITF CNQ-ITF NC00000 1.0
, , FC 1.0
presentan presentar VMIP3P0 1.0
una uno DI0FS0 1.0
conductividad conductividad NCFS000 1.0
eléctrica eléctrico AQ0FS0 1.0
comparable comparable AQ0CS0 1.0
a a SPS00 1.0
la el DA0FS0 1.0
de de SPS00 1.0
los el DA0MP0 1.0
metales metal NCMP000 1.0
, , FC 1.0
de de SPS00 1.0
la el DA0FS0 1.0
deslocalización deslocalización NCFS000 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
a a SPS00 1.0
una uno DI0FS0 1.0
norma norma NCFS000 1.0
canónica canónico AQ0FS0 1.0
aromática aromático AQ0FS0 1.0
por por SPS00 1.0
resonancia resonancia NCFS000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
anión-radical anión-radical NCMS000 1.0
del del SPCMS 1.0
TCNQ tcnq NC00000 1.0
y y CC 1.0
del del SPCMS 1.0
catión-radical catión-radical NCMS000 1.0
del del SPCMS 1.0
TTF TTF NCMS000 1.0
. . FP 1.0
Es ser VSIP3S0 1.0
justamente justamente RG 1.0
el el DA0MS0 1.0
valor valor NCMS000 1.0
relativo relativo AQ0MS0 1.0
del del SPCMS 1.0
potencial potencial NCMS000 1.0
de de SPS00 1.0
oxidación oxidación NCFS000 1.0
del del SPCMS 1.0
dador dador NCMS000 1.0
y y CC 1.0
del del SPCMS 1.0
potencial potencial NCMS000 1.0
de de SPS00 1.0
reducción reducción NCFS000 1.0
del del SPCMS 1.0
aceptor aceptor NCMS000 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
garantiza garantizar VMIP3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
transferencia transferencia NCFS000 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
no no RN 1.0
sea ser VSSP3S0 1.0
total total AQ0CS0 1.0
. . FP 1.0
Se él P0300000 1.0
cumple cumplir VMIP3S0 1.0
con con SPS00 1.0
ello él PP3NS000 1.0
el el DA0MS0 1.0
requisito requisito NCMS000 1.0
de de SPS00 1.0
conductividad conductividad NCFS000 1.0
por por SPS00 1.0
movimiento movimiento NCMS000 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
de de SPS00 1.0
molécula molécula NCFS000 1.0
cargada cargado AQ0FSP 1.0
a a SPS00 1.0
molécula molécula NCFS000 1.0
neutra neutro AQ0FS0 1.0
a_lo_largo_del a_lo_largo_del SPCMS 1.0
apilamiento apilamiento NCMS000 1.0
. . FP 1.0
Es ser VSIP3S0 1.0
obvio obvio AQ0MS0 1.0
, , FC 1.0
por_tanto por_tanto RG 1.0
, , FC 1.0
que que CS 1.0
un uno DI0MS0 1.0
camino camino NCMS000 1.0
apropiado apropiado AQ0MSP 1.0
para para SPS00 1.0
mejorar mejorar VMN0000 1.0
la el DA0FS0 1.0
conductividad conductividad NCFS000 1.0
sería ser VSIC3S0 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 1.0
de de SPS00 1.0
moléculas molécula NCFP000 1.0
dador dador NCMS000 1.0
y y CC 1.0
aceptor aceptor NCMS000 1.0
que que PR0CN000 1.0
tuviesen tener VMSI3P0 1.0
valores valor NCMP000 1.0
de de SPS00 1.0
potenciales potencial NCMP000 1.0
lo el DA0NS0 1.0
más más RG 1.0
apropiados apropiado AQ0MPP 1.0
para para SPS00 1.0
lograr lograr VMN0000 1.0
la el DA0FS0 1.0
transferencia transferencia NCFS000 1.0
parcial parcial AQ0CS0 1.0
de de SPS00 1.0
carga carga NCFS000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
grado grado NCMS000 1.0
óptimo óptimo AQ0MS0 1.0
. . FP 1.0
