Venezuela Venezuela NP0000O 1.0
regional regional AQ0CS0 1.0
. . FP 1.0
Bell Bell NP0000P 1.0
afirmó afirmar VMIS3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
democracia democracia NCFS000 1.0
de de SPS00 1.0
Colombia Colombia NP0000O 1.0
" " FE 1.0
es ser VSIP3S0 1.0
hoy hoy RG 1.0
una uno DI0FS0 1.0
democracia democracia NCFS000 1.0
amenazada amenazado AQ0FSP 1.0
" " FE 1.0
, , FC 1.0
por por SPS00 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
aseguró asegurar VMIS3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
lucha lucha NCFS000 1.0
contra contra SPS00 1.0
la el DA0FS0 1.0
violencia violencia NCFS000 1.0
y y CC 1.0
el el DA0MS0 1.0
narcotráfico narcotráfico NCMS000 1.0
es ser VSIP3S0 1.0
la el DA0FS0 1.0
prioridad prioridad NCFS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
autoridades autoridad NCFP000 1.0
, , FC 1.0
que que PR0CN000 1.0
se él P0300000 1.0
esfuerzan esforzar VMIP3P0 1.0
en en SPS00 1.0
hacer hacer VMN0000 1.0
mejoras mejora NCFP000 1.0
legislativas legislativo AQ0FP0 1.0
y y CC 1.0
políticas político AQ0FP0 1.0
encaminadas encaminado AQ0FPP 1.0
a a SPS00 1.0
la el DA0FS0 1.0
consecución consecución NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
paz paz NCFS000 1.0
. . FP 1.0
En en SPS00 1.0
este este DD0MS0 1.0
sentido sentido NCMS000 1.0
, , FC 1.0
reconoció reconocer VMIS3S0 1.0
la el DA0FS0 1.0
" " FE 1.0
compleja complejo AQ0FS0 1.0
situación situación NCFS000 1.0
" " FE 1.0
que que PR0CN000 1.0
se se P0300000 1.0
vive vivir VMIP3S0 1.0
en en SPS00 1.0
su su DP3CS0 1.0
país país NCMS000 1.0
, , FC 1.0
con con SPS00 1.0
la el DA0FS0 1.0
práctica práctica NCFS000 1.0
sistemática sistemático AQ0FS0 1.0
de de SPS00 1.0
secuestros secuestro NCMP000 1.0
con con SPS00 1.0
los el DA0MP0 1.0
que que PR0CN000 1.0
" " FE 1.0
los el DA0MP0 1.0
insurgentes insurgente NCCP000 1.0
" " FE 1.0
quieren querer VMIP3P0 1.0
intimidar intimidar VMN0000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
población población NCFS000 1.0
civil civil AQ0CS0 1.0
de de SPS00 1.0
forma forma NCFS000 1.0
generalizada generalizado AQ0FSP 1.0
, , FC 1.0
el el DA0MS0 1.0
reclutamiento reclutamiento NCMS000 1.0
de de SPS00 1.0
niños niño NCMP000 1.0
por por SPS00 1.0
los el DA0MP0 1.0
paramilitares paramilitar NCMP000 1.0
o o CC 1.0
los el DA0MP0 1.0
numerosos numeroso AQ0MP0 1.0
desplazamientos desplazamiento NCMP000 1.0
provocados provocado AQ0MPP 1.0
por por SPS00 1.0
los el DA0MP0 1.0
ataques ataque NCMP000 1.0
guerrilleros guerrillero AQ0MP0 1.0
. . FP 1.0
Sin_embargo sin_embargo RG 1.0
, , FC 1.0
Bell Bell NP0000P 1.0
resaltó resaltar VMIS3S0 1.0
el el DA0MS0 1.0
gran gran AQ0CS0 1.0
esfuerzo esfuerzo NCMS000 1.0
que que PR0CN000 1.0
el el DA0MS0 1.0
Gobierno Gobierno NP0000O 1.0
está estar VMIP3S0 1.0
haciendo hacer VMG0000 1.0
y y CC 1.0
enumeró enumerar VMIS3S0 1.0
los el DA0MP0 1.0
avances avance NCMP000 1.0
logrados logrado AQ0MPP 1.0
en en SPS00 1.0
los el DA0MP0 1.0
últimos último AO0MP0 1.0
años año NCMP000 1.0
en_materia_de en_materia_de SPS00 1.0
protección protección NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
población población NCFS000 1.0
civil civil AQ0CS0 1.0
y y CC 1.0
de de SPS00 1.0
los el DA0MP0 1.0
defensores defensor NCMP000 1.0
de de SPS00 1.0
derechos_humanos derechos_humanos NCMP000 1.0
, , FC 1.0
la el DA0FS0 1.0
tipificación tipificación NCFS000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
Código_Penal Código_Penal NP0000A 1.0
del del SPCMS 1.0
reclutamiento reclutamiento NCMS000 1.0
de de SPS00 1.0
menores menor NCCP000 1.0
o o CC 1.0
las el DA0FP0 1.0
investigaciones investigación NCFP000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
presuntos presunto AQ0MP0 1.0
delitos delito NCMP000 1.0
cometidos cometido AQ0MPP 1.0
por por SPS00 1.0
miembros miembro NCMP000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
Fuerzas_Armadas Fuerzas_Armadas NP0000O 1.0
. . FP 1.0
Pero pero CC 1.0
todo todo DI0MS0 1.0
esto este PD0NS000 1.0
, , FC 1.0
explicó explicar VMIS3S0 1.0
el el DA0MS0 1.0
vicepresidente vicepresidente NCMS000 1.0
, , FC 1.0
debe deber VMIP3S0 1.0
hacerse hacer VMN0000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
ámbito ámbito NCMS000 1.0
regional regional AQ0CS0 1.0
y y CC 1.0
con con SPS00 1.0
la el DA0FS0 1.0
colaboración colaboración NCFS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
comunidad comunidad NCFS000 1.0
internacional internacional AQ0CS0 1.0
, , FC 1.0
" " FE 1.0
de_acuerdo_con de_acuerdo_con SPS00 1.0
los el DA0MP0 1.0
principios principio NCMP000 1.0
de de SPS00 1.0
no no RN 1.0
interferencia interferencia NCFS000 1.0
en en SPS00 1.0
asuntos asunto NCMP000 1.0
internos interno AQ0MP0 1.0
" " FE 1.0
. . FP 1.0
" " FE 1.0
El el DA0MS0 1.0
proceso proceso NCMS000 1.0
de de SPS00 1.0
paz paz NCFS000 1.0
se él P0300000 1.0
apoya apoyar VMIP3S0 1.0
en en SPS00 1.0
la el DA0FS0 1.0
democracia democracia NCFS000 1.0
, , FC 1.0
integridad integridad NCFS000 1.0
territorial territorial AQ0CS0 1.0
y y CC 1.0
derechos_humanos derechos_humanos NCMP000 1.0
" " FE 1.0
, , FC 1.0
dijo decir VMIS3S0 1.0
Bell Bell NP0000P 1.0
, , FC 1.0
y y CC 1.0
agregó agregar VMIS3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
política política NCFS000 1.0
en_materia_de en_materia_de SPS00 1.0
derechos_humanos derechos_humanos NCMP000 1.0
" " FE 1.0
es ser VSIP3S0 1.0
a_largo_plazo a_largo_plazo RG 1.0
" " FE 1.0
, , FC 1.0
ya_que ya_que CS 1.0
hay haber VAIP3S0 1.0
que que CS 1.0
reconstruir reconstruir VMN0000 1.0
una uno DI0FS0 1.0
escala escala NCFS000 1.0
de de SPS00 1.0
valores valor NCMP000 1.0
de de SPS00 1.0
solidaridad solidaridad NCFS000 1.0
y y CC 1.0
tolerancia tolerancia NCFS000 1.0
, , FC 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
llevará llevar VMIF3S0 1.0
bastante bastante DI0CS0 1.0
tiempo tiempo NCMS000 1.0
. . FP 1.0
El el DA0MS0 1.0
ministro ministro NCMS000 1.0
venezolano venezolano AQ0MS0 1.0
de de SPS00 1.0
Asuntos_Exteriores Asuntos_Exteriores NP0000O 1.0
manifestó manifestar VMIS3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
violencia violencia NCFS000 1.0
colombiana colombiano AQ0FS0 1.0
es ser VSIP3S0 1.0
un uno DI0MS0 1.0
problema problema NCMS000 1.0
regional regional AQ0CS0 1.0
que que PR0CN000 1.0
debe deber VMIP3S0 1.0
ser ser VSN0000 1.0
asumido asumir VMP00SM 1.0
por por SPS00 1.0
el el DA0MS0 1.0
Gobierno Gobierno NP0000O 1.0
con con SPS00 1.0
la el DA0FS0 1.0
ayuda ayuda NCFS000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
países país NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
zona zona NCFS000 1.0
y y CC 1.0
de de SPS00 1.0
algunos alguno DI0MP0 1.0
europeos europeo NCMP000 1.0
, , FC 1.0
como como CS 1.0
España España NP0000O 1.0
. . FP 1.0
Rangel Rangel NP0000P 1.0
se él P0300000 1.0
mostró mostrar VMIS3S0 1.0
contrario contrario AQ0MS0 1.0
a a SPS00 1.0
que que CS 1.0
en en SPS00 1.0
la el DA0FS0 1.0
Comisión_de_Derechos_Humanos_de_la_ONU Comisión_de_Derechos_Humanos_de_la_ONU NP0000O 1.0
se se P0000000 1.0
condene condenar VMSP3S0 1.0
a a SPS00 1.0
cualquier cualquiera DI0CS0 1.0
país país NCMS000 1.0
por por SPS00 1.0
la el DA0FS0 1.0
situación situación NCFS000 1.0
en en SPS00 1.0
que que PR0CN000 1.0
se él P0300000 1.0
encuentra encontrar VMIP3S0 1.0
, , FC 1.0
porque porque CS 1.0
" " FE 1.0
lo el DA0NS0 1.0
que que PR0CN000 1.0
hay haber VAIP3S0 1.0
que que CS 1.0
hacer hacer VMN0000 1.0
- - FG 1.0
añadió añadir VMIS3S0 1.0
- - FG 1.0
es ser VSIP3S0 1.0
estimular estimular VMN0000 1.0
el el DA0MS0 1.0
progreso progreso NCMS000 1.0
y y CC 1.0
la el DA0FS0 1.0
cooperación cooperación NCFS000 1.0
" " FE 1.0
. . FP 1.0
" " FE 1.0
Las el DA0FP0 1.0
resoluciones resolución NCFP000 1.0
deben deber VMIP3P0 1.0
facilitar facilitar VMN0000 1.0
la el DA0FS0 1.0
evolución evolución NCFS000 1.0
positiva positivo AQ0FS0 1.0
de de SPS00 1.0
los el DA0MP0 1.0
derechos_humanos derechos_humanos NCMP000 1.0
en en SPS00 1.0
el el DA0MS0 1.0
mundo mundo NCMS000 1.0
, , FC 1.0
y y CC 1.0
no no RN 1.0
recomendar recomendar VMN0000 1.0
acciones acción NCFP000 1.0
que que PR0CN000 1.0
puedan poder VMSP3P0 1.0
obstaculizar obstaculizar VMN0000 1.0
los el DA0MP0 1.0
procesos proceso NCMP000 1.0
nacionales nacional AQ0CP0 1.0
" " FE 1.0
, , FC 1.0
opinó opinar VMIS3S0 1.0
Rangel Rangel NP0000P 1.0
. . FP 1.0
El el DA0MS0 1.0
ministro ministro NCMS000 1.0
venezolano venezolano AQ0MS0 1.0
rechazó rechazar VMIS3S0 1.0
, , FC 1.0
en en SPS00 1.0
una uno DI0FS0 1.0
rueda rueda NCFS000 1.0
de de SPS00 1.0
prensa prensa NCFS000 1.0
, , FC 1.0
que que CS 1.0
se se P0000000 1.0
maneje manejar VMSP3S0 1.0
cualquier cualquiera DI0CS0 1.0
problema problema NCMS000 1.0
relacionado relacionado AQ0MSP 1.0
con con SPS00 1.0
derechos_humanos derechos_humanos NCMP000 1.0
" " FE 1.0
en_base_a en_base_a SPS00 1.0
conveniencias conveniencia NCFP000 1.0
políticas político AQ0FP0 1.0
o o CC 1.0
a a SPS00 1.0
relaciones relación NCFP000 1.0
bilaterales bilateral AQ0CP0 1.0
" " FE 1.0
, , FC 1.0
y y CC 1.0
aseguró asegurar VMIS3S0 1.0
que que CS 1.0
su su DP3CS0 1.0
país país NCMS000 1.0
se él P0300000 1.0
opondrá oponer VMIF3S0 1.0
a a SPS00 1.0
la el DA0FS0 1.0
iniciativa iniciativa NCFS000 1.0
de de SPS00 1.0
algunos alguno DI0MP0 1.0
países país NCMP000 1.0
de de SPS00 1.0
evaluar evaluar VMN0000 1.0
unilateralmente unilateralmente RG 1.0
el el DA0MS0 1.0
cumplimiento cumplimiento NCMS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
normativas normativa NCFP000 1.0
de de SPS00 1.0
derechos_humanos derechos_humanos NCMP000 1.0
. . FP 1.0
Por por SPS00 1.0
ello él PP3NS000 1.0
, , FC 1.0
dijo decir VMIS3S0 1.0
estar estar VMN0000 1.0
preocupado preocupado AQ0MSP 1.0
por por SPS00 1.0
la el DA0FS0 1.0
actitud actitud NCFS000 1.0
de de SPS00 1.0
Estados_Unidos Estados_Unidos NP0000O 1.0
ante ante SPS00 1.0
el el DA0MS0 1.0
problema problema NCMS000 1.0
de de SPS00 1.0
Colombia Colombia NP0000O 1.0
, , FC 1.0
que que PR0CN000 1.0
podría poder VMIC3S0 1.0
llevar llevar VMN0000 1.0
a a SPS00 1.0
una uno DI0FS0 1.0
internacionalización internacionalización NCFS000 1.0
del del SPCMS 1.0
conflicto conflicto NCMS000 1.0
, , FC 1.0
" " FE 1.0
que que PR0CN000 1.0
sería ser VSIC3S0 1.0
lo el DA0NS0 1.0
peor peor AQ0CS0 1.0
que que PR0CN000 1.0
puede poder VMIP3S0 1.0
ocurrir ocurrir VMN0000 1.0
" " FE 1.0
. . FP 1.0
Rangel Rangel NP0000P 1.0
recordó recordar VMIS3S0 1.0
que que CS 1.0
la el DA0FS0 1.0
violencia violencia NCFS000 1.0
de de SPS00 1.0
Colombia Colombia NP0000L 1.0
repercute repercutir VMIP3S0 1.0
directamente directamente RG 1.0
en en SPS00 1.0
su su DP3CS0 1.0
país país NCMS000 1.0
, , FC 1.0
ya_que ya_que CS 1.0
comparten compartir VMIP3P0 1.0
2.219 2219  1.0
kilómetros kilómetro NCMP000 1.0
de de SPS00 1.0
" " FE 1.0
frontera frontera NCFS000 1.0
común común AQ0CS0 1.0
, , FC 1.0
activa activo AQ0FS0 1.0
y y CC 1.0
plagada plagado AQ0FSP 1.0
de de SPS00 1.0
problemas problema NCMP000 1.0
" " FE 1.0
, , FC 1.0
y y CC 1.0
señaló señalar VMIS3S0 1.0
que que CS 1.0
desde desde SPS00 1.0
Venezuela Venezuela NP0000O 1.0
se se P0000000 1.0
apuesta apostar VMIP3S0 1.0
por por SPS00 1.0
la el DA0FS0 1.0
paz paz NCFS000 1.0
en en SPS00 1.0
Colombia Colombia NP0000L 1.0
, , FC 1.0
que que PR0CN000 1.0
es ser VSIP3S0 1.0
la el DA0FS0 1.0
única único AQ0FS0 1.0
alternativa alternativa NCFS000 1.0
. . FP 1.0
