Leyendo leer VMG0000 1.0
conocido conocido AQ0MSP 1.0
movido movido AQ0MSP 1.0
por por SPS00 1.0
un uno DI0MS0 1.0
motor motor NCMS000 1.0
de de SPS00 1.0
gas gas NCMS000 1.0
, , FC 1.0
es ser VSIP3S0 1.0
a a SPS00 1.0
Gottlieb_Daimler Gottlieb_Daimler NP0000P 1.0
( ( FPA 1.0
1834 [??:??/??/1834:??.??]  1.0
- - FG 1.0
1900 [??:??/??/1900:??.??]  1.0
) ) FPT 1.0
y y CC 1.0
a a SPS00 1.0
su su DP3CS0 1.0
fiel fiel AQ0CS0 1.0
colaborador colaborador NCMS000 1.0
Maybach Maybach NP0000P 1.0
a a SPS00 1.0
quien quien PR0CS000 1.0
se se P0000000 1.0
deben deber VMIP3P0 1.0
los el DA0MP0 1.0
primeros primero AO0MP0 1.0
esfuerzos esfuerzo NCMP000 1.0
continuados continuado AQ0MPP 1.0
para para SPS00 1.0
el el DA0MS0 1.0
desarrollo desarrollo NCMS000 1.0
y y CC 1.0
producción producción NCFS000 1.0
de de SPS00 1.0
vehículos vehículo NCMP000 1.0
a a SPS00 1.0
motor motor NCMS000 1.0
. . FP 1.0
El el DA0MS0 1.0
primero primero AO0MS0 1.0
de de SPS00 1.0
éstos este PD0MP000 1.0
fue ser VSIS3S0 1.0
una uno DI0FS0 1.0
motocicleta motocicleta NCFS000 1.0
patentada patentado AQ0FSP 1.0
en en SPS00 1.0
1885 [??:??/??/1885:??.??]  1.0
. . FP 1.0
En en SPS00 1.0
1887 [??:??/??/1887:??.??]  1.0
circuló circular VMIS3S0 1.0
por por SPS00 1.0
primera primero AO0FS0 1.0
vez vez NCFS000 1.0
un uno DI0MS0 1.0
carruaje carruaje NCMS000 1.0
de de SPS00 1.0
cuatro cuatro DN0CP0 1.0
ruedas rueda NCFP000 1.0
hecho hecho AQ0MSP 1.0
por por SPS00 1.0
Daimler Daimler NP0000P 1.0
a a SPS00 1.0
18 18  1.0
kilómetros kilómetro NCMP000 1.0
por por SPS00 1.0
hora hora NCFS000 1.0
, , FC 1.0
y y CC 1.0
en en SPS00 1.0
1891 [??:??/??/1891:??.??]  1.0
el el DA0MS0 1.0
primer primero AO0MS0 1.0
camión camión NCMS000 1.0
con con SPS00 1.0
dos dos DN0CP0 1.0
marchas marcha NCFP000 1.0
delante delante RG 1.0
y y CC 1.0
una uno PI0FS000 1.0
atrás atrás RG 1.0
. . FP 1.0
Daimler Daimler NP0000P 1.0
no no RN 1.0
era ser VSII3S0 1.0
el el DA0MS0 1.0
único único AQ0MS0 1.0
. . FP 1.0
Por por SPS00 1.0
la el DA0FS0 1.0
misma mismo DI0FS0 1.0
época época NCFS000 1.0
circulaba circular VMII3S0 1.0
por por SPS00 1.0
las el DA0FP0 1.0
calles calle NCFP000 1.0
de de SPS00 1.0
Mannheim Mannheim NP0000L 1.0
, , FC 1.0
también también RG 1.0
en en SPS00 1.0
Alemania Alemania NP0000L 1.0
, , FC 1.0
un uno DI0MS0 1.0
coche coche NCMS000 1.0
mecánico mecánico AQ0MS0 1.0
de de SPS00 1.0
tres tres DN0CP0 1.0
ruedas rueda NCFP000 1.0
diseñado diseñado AQ0MSP 1.0
por por SPS00 1.0
Karl_Friedrich_Benz Karl_Friedrich_Benz NP0000P 1.0
( ( FPA 1.0
1844 [??:??/??/1844:??.??]  1.0
- - FG 1.0
1929 [??:??/??/1929:??.??]  1.0
) ) FPT 1.0
en en SPS00 1.0
el el DA0MS0 1.0
que que PR0CN000 1.0
- - FG 1.0
el el DA0MS0 1.0
chasis chasis NCMN000 1.0
y y CC 1.0
el el DA0MS0 1.0
motor motor NCMS000 1.0
habían haber VAII3P0 1.0
sido ser VSP00SM 1.0
concebidos concebir VMP00PM 1.0
como como CS 1.0
un uno DI0MS0 1.0
todo todo PI0MS000 1.0
orgánico orgánico AQ0MS0 1.0
- - FG 1.0
; ; FX 1.0
es_decir es_decir CC 1.0
, , FC 1.0
un uno DI0MS0 1.0
verdadero verdadero AQ0MS0 1.0
automóvil automóvil NCMS000 1.0
. . FP 1.0
Le él PP3CSD00 1.0
faltaba faltar VMII3S0 1.0
por por SPS00 1.0
resolver resolver VMN0000 1.0
, , FC 1.0
sin_embargo sin_embargo CC 1.0
, , FC 1.0
el el DA0MS0 1.0
mecanismo mecanismo NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
dirección dirección NCFS000 1.0
de de SPS00 1.0
dos dos DN0CP0 1.0
ruedas rueda NCFP000 1.0
; ; FX 1.0
por por SPS00 1.0
eso ese PD0NS000 1.0
era ser VSII3S0 1.0
todavía todavía RG 1.0
un uno DI0MS0 1.0
triciclo triciclo NCMS000 1.0
. . FP 1.0
En en SPS00 1.0
pocos poco DI0MP0 1.0
años año NCMP000 1.0
los el DA0MP0 1.0
nuevos nuevo AQ0MP0 1.0
automóviles automóvil NCMP000 1.0
se él P0300000 1.0
extendían extender VMII3P0 1.0
por por SPS00 1.0
todas todo DI0FP0 1.0
partes parte NCFP000 1.0
, , FC 1.0
y y CC 1.0
en en SPS00 1.0
Francia Francia NP0000L 1.0
especialmente especialmente RG 1.0
se se P0000000 1.0
celebraban celebrar VMII3P0 1.0
las el DA0FP0 1.0
primeras primero AO0FP0 1.0
carreras carrera NCFP000 1.0
en en SPS00 1.0
las el DA0FP0 1.0
que que PR0CN000 1.0
triunfaron triunfar VMIS3P0 1.0
los el DA0MP0 1.0
autos auto NCMP000 1.0
de de SPS00 1.0
Daimler Daimler NP0000P 1.0
. . FP 1.0
Al al SPCMS 1.0
borde borde NCMS000 1.0
del del SPCMS 1.0
siglo_XX [s:xx]  1.0
, , FC 1.0
en en SPS00 1.0
el el DA0MS0 1.0
año_1900 [??:??/??/1900:??.??]  1.0
, , FC 1.0
crean crear VMIP3P0 1.0
Daimler Daimler NP0000P 1.0
, , FC 1.0
su su DP3CS0 1.0
hijo hijo NCMS000 1.0
Paul Paul NP0000P 1.0
y y CC 1.0
Wilhelm_Maybach Wilhelm_Maybach NP0000P 1.0
, , FC 1.0
un uno DI0MS0 1.0
automóvil automóvil NCMS000 1.0
que que PR0CN000 1.0
reunía reunir VMII3S0 1.0
todos todo DI0MP0 1.0
los el DA0MP0 1.0
adelantos adelanto NCMP000 1.0
técnicos técnico AQ0MP0 1.0
del del SPCMS 1.0
momento momento NCMS000 1.0
: : FD 1.0
35 35  1.0
CV CV NP0000A 1.0
de de SPS00 1.0
potencia potencia NCFS000 1.0
, , FC 1.0
carburador carburador NCMS000 1.0
de de SPS00 1.0
inyección inyección NCFS000 1.0
y y CC 1.0
neumáticos neumático NCMP000 1.0
, , FC 1.0
un uno DI0MS0 1.0
invento invento NCMS000 1.0
reciente reciente AQ0CS0 1.0
de de SPS00 1.0
los el DA0MP0 1.0
hermanos hermano NCMP000 1.0
Michelín Michelín NP0000P 1.0
de de SPS00 1.0
París París NP0000L 1.0
. . FP 1.0
En en SPS00 1.0
honor honor NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
hija hija NCFS000 1.0
del del SPCMS 1.0
gran gran AQ0CS0 1.0
deportista deportista NCCS000 1.0
Emil_Jellinek Emil_Jellinek NP0000P 1.0
, , FC 1.0
le él PP3CSD00 1.0
ponen poner VMIP3P0 1.0
su su DP3CS0 1.0
nombre nombre NCMS000 1.0
: : FD 1.0
Mercedes Mercedes NP0000P 1.0
. . FP 1.0
Daimler Daimler NP0000P 1.0
muere morir VMIP3S0 1.0
aquel aquel DD0MS0 1.0
mismo mismo DI0MS0 1.0
año año NCMS000 1.0
. . FP 1.0
