Más más RG 1.0
directores director NCMP000 1.0
de de SPS00 1.0
teatro teatro NCMS000 1.0
Fanny_Mikey Fanny_Mikey NP0000P 1.0
, , FC 1.0
Enrique_Buenaventura Enrique_Buenaventura NP0000P 1.0
y y CC 1.0
Ramiro_Osorio Ramiro_Osorio NP0000P 1.0
, , FC 1.0
el el DA0MS0 1.0
pintor pintor NCMS000 1.0
David_Manzur David_Manzur NP0000P 1.0
, , FC 1.0
el el DA0MS0 1.0
director director NCMS000 1.0
de de SPS00 1.0
cine cine NCMS000 1.0
Francisco_Norden Francisco_Norden NP0000P 1.0
y y CC 1.0
el el DA0MS0 1.0
escritor escritor NCMS000 1.0
Oscar_Collazos Oscar_Collazos NP0000P 1.0
. . FP 1.0
Los el DA0MP0 1.0
artistas artista NCCP000 1.0
y y CC 1.0
trabajadores trabajador NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
cultura cultura NCFS000 1.0
, , FC 1.0
en en SPS00 1.0
distintos distinto DI0MP0 1.0
campos campo NCMP000 1.0
, , FC 1.0
pintura pintura NCFS000 1.0
, , FC 1.0
literatura literatura NCFS000 1.0
, , FC 1.0
teatro teatro NCMS000 1.0
, , FC 1.0
ópera ópera NCFS000 1.0
y y CC 1.0
el el DA0MS0 1.0
cine cine NCMS000 1.0
, , FC 1.0
entre entre SPS00 1.0
otros otro PI0MP000 1.0
, , FC 1.0
indican indicar VMIP3P0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
manifiesto manifiesto NCMS000 1.0
que que CS 1.0
" " FE 1.0
asumimos asumir VMIP1P0 1.0
el el DA0MS0 1.0
deber deber NCMS000 1.0
de de SPS00 1.0
manifestarnos manifestar VMN0000 1.0
sobre sobre SPS00 1.0
las el DA0FP0 1.0
circunstancias circunstancia NCFP000 1.0
que que PR0CN000 1.0
mantienen mantener VMIP3P0 1.0
en_vilo en_vilo RG 1.0
la el DA0FS0 1.0
vida vida NCFS000 1.0
y y CC 1.0
obra obra NCFS000 1.0
de de SPS00 1.0
los el DA0MP0 1.0
colombianos colombiano NCMP000 1.0
" " FE 1.0
. . FP 1.0
Los el DA0MP0 1.0
artistas artista NCCP000 1.0
señalan señalar VMIP3P0 1.0
que que CS 1.0
invitan invitar VMIP3P0 1.0
" " FE 1.0
a a SPS00 1.0
quienes quien PR0CP000 1.0
tienen tener VMIP3P0 1.0
el el DA0MS0 1.0
poder poder NCMS000 1.0
de de SPS00 1.0
definir definir VMN0000 1.0
su su DP3CS0 1.0
rumbo rumbo NCMS000 1.0
, , FC 1.0
para para SPS00 1.0
que que CS 1.0
demuestren demostrar VMSP3P0 1.0
la el DA0FS0 1.0
voluntad voluntad NCFS000 1.0
política político AQ0FS0 1.0
y y CC 1.0
económica económico AQ0FS0 1.0
de de SPS00 1.0
eliminar eliminar VMN0000 1.0
sus su DP3CP0 1.0
causas causa NCFP000 1.0
y y CC 1.0
por por SPS00 1.0
ningún ninguno DI0MS0 1.0
motivo motivo NCMS000 1.0
promuevan promover VMSP3P0 1.0
una uno DI0FS0 1.0
resolución resolución NCFS000 1.0
distinta distinto AQ0FS0 1.0
a a SPS00 1.0
la el DA0FS0 1.0
del del SPCMS 1.0
diálogo diálogo NCMS000 1.0
que que PR0CN000 1.0
la el DA0FS0 1.0
historia historia NCFS000 1.0
nos yo PP1CP000 1.0
impone imponer VMIP3S0 1.0
mantener mantener VMN0000 1.0
" " FE 1.0
. . FP 1.0
También también RG 1.0
instan instar VMIP3P0 1.0
a a SPS00 1.0
preservar preservar VMN0000 1.0
, , FC 1.0
bajo bajo SPS00 1.0
cualquier cualquiera DI0CS0 1.0
circunstancia circunstancia NCFS000 1.0
, , FC 1.0
el el DA0MS0 1.0
diálogo diálogo NCMS000 1.0
que que PR0CN000 1.0
el el DA0MS0 1.0
gobierno gobierno NCMS000 1.0
y y CC 1.0
la el DA0FS0 1.0
guerrilla guerrilla NCFS000 1.0
de de SPS00 1.0
las el DA0FP0 1.0
Fuerzas_Armadas_Revolucionarias_de_Colombia Fuerzas_Armadas_Revolucionarias_de_Colombia NP0000O 1.0
( ( FPA 1.0
FARC FARC NP0000O 1.0
) ) FPT 1.0
, , FC 1.0
mantienen mantener VMIP3P0 1.0
en en SPS00 1.0
el el DA0MS0 1.0
Caguán Caguán NP0000L 1.0
( ( FPA 1.0
sur sur NCMS000 1.0
del del SPCMS 1.0
país país NCMS000 1.0
) ) FPT 1.0
y y CC 1.0
concertar concertar VMN0000 1.0
nuevos nuevo AQ0MP0 1.0
diálogos diálogo NCMP000 1.0
con con SPS00 1.0
los el DA0MP0 1.0
demás demás DI0CP0 1.0
grupos grupo NCMP000 1.0
armados armado AQ0MPP 1.0
. . FP 1.0
Asimismo asimismo RG 1.0
, , FC 1.0
piden pedir VMIP3P0 1.0
que que CS 1.0
haya haber VASP3S0 1.0
garantías garantía NCFP000 1.0
de de SPS00 1.0
que que CS 1.0
el el DA0MS0 1.0
Plan_Colombia Plan_Colombia NP0000A 1.0
, , FC 1.0
la el DA0FS0 1.0
estrategia estrategia NCFS000 1.0
antidrogas antidroga AQ0CP0 1.0
del del SPCMS 1.0
gobierno gobierno NCMS000 1.0
del del SPCMS 1.0
presidente presidente NCMS000 1.0
Andrés_Pastrana Andrés_Pastrana NP0000P 1.0
, , FC 1.0
" " FE 1.0
cumpla cumplir VMM03S0 1.0
el el DA0MS0 1.0
objetivo objetivo NCMS000 1.0
de de SPS00 1.0
contribuir contribuir VMN0000 1.0
a a SPS00 1.0
la el DA0FS0 1.0
pacificación pacificación NCFS000 1.0
del del SPCMS 1.0
país país NCMS000 1.0
, , FC 1.0
destinando destinar VMG0000 1.0
la el DA0FS0 1.0
mayor mayor AQ0CS0 1.0
cantidad cantidad NCFS000 1.0
de de SPS00 1.0
sus su DP3CP0 1.0
recursos recurso NCMP000 1.0
a a SPS00 1.0
programas programa NCMP000 1.0
sociales social AQ0CP0 1.0
que que PR0CN000 1.0
mejoren mejorar VMSP3P0 1.0
las el DA0FP0 1.0
condiciones condición NCFP000 1.0
de de SPS00 1.0
vida vida NCFS000 1.0
" " FE 1.0
. . FP 1.0
Los el DA0MP0 1.0
firmantes firmante NCCP000 1.0
del del SPCMS 1.0
manifiesto manifiesto NCMS000 1.0
también también RG 1.0
señalan señalar VMIP3P0 1.0
que que CS 1.0
hay haber VAIP3S0 1.0
que que CS 1.0
" " FE 1.0
entender entender VMN0000 1.0
el el DA0MS0 1.0
narcotráfico narcotráfico NCMS000 1.0
como_consecuencia_de como_consecuencia_de SPS00 1.0
la el DA0FS0 1.0
crisis crisis NCFN000 1.0
social social AQ0CS0 1.0
y y CC 1.0
de de SPS00 1.0
la el DA0FS0 1.0
demanda demanda NCFS000 1.0
internacional internacional AQ0CS0 1.0
de de SPS00 1.0
estupefacientes estupefaciente NCCP000 1.0
, , FC 1.0
y y CC 1.0
no no RN 1.0
como como CS 1.0
origen origen NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
guerra guerra NCFS000 1.0
, , FC 1.0
afrontándolo afrontar VMG0000 1.0
con con SPS00 1.0
el el DA0MS0 1.0
concurso concurso NCMS000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
cultura cultura NCFS000 1.0
, , FC 1.0
la el DA0FS0 1.0
ecología ecología NCFS000 1.0
, , FC 1.0
la el DA0FS0 1.0
salud salud NCFS000 1.0
, , FC 1.0
la el DA0FS0 1.0
educación educación NCFS000 1.0
y y CC 1.0
el el DA0MS0 1.0
consenso consenso NCMS000 1.0
nacional nacional AQ0CS0 1.0
" " FE 1.0
. . FP 1.0
El el DA0MS0 1.0
manifiesto manifiesto NCMS000 1.0
concluye concluir VMIP3S0 1.0
indicando indicar VMG0000 1.0
que que CS 1.0
" " FE 1.0
los el DA0MP0 1.0
creadores creador NCMP000 1.0
, , FC 1.0
intérpretes intérprete NCCP000 1.0
, , FC 1.0
intelectuales intelectual NCCP000 1.0
y y CC 1.0
trabajadores trabajador NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
cultura cultura NCFS000 1.0
ratificamos ratificar VMIP1P0 1.0
en en SPS00 1.0
esta este DD0FS0 1.0
confusa confuso AQ0FS0 1.0
hora hora NCFS000 1.0
para para SPS00 1.0
el el DA0MS0 1.0
país país NCMS000 1.0
, , FC 1.0
de de SPS00 1.0
la el DA0FS0 1.0
única único AQ0FS0 1.0
manera manera NCFS000 1.0
que que PR0CN000 1.0
sabemos saber VMIP1P0 1.0
y y CC 1.0
podemos poder VMIP1P0 1.0
hacerlo hacer VMN0000 1.0
, , FC 1.0
a_través_del a_través_del SPCMS 1.0
arte arte NCCS000 1.0
, , FC 1.0
de de SPS00 1.0
la el DA0FS0 1.0
cultura cultura NCFS000 1.0
, , FC 1.0
que que CS 1.0
Colombia Colombia NP0000O 1.0
cuenta contar VMIP3S0 1.0
con con SPS00 1.0
hijos hijo NCMP000 1.0
dispuestos dispuesto AQ0MPP 1.0
a a SPS00 1.0
edificar edificar VMN0000 1.0
su su DP3CS0 1.0
impostergable impostergable AQ0CS0 1.0
sueño sueño NCMS000 1.0
de de SPS00 1.0
verdadera verdadero AQ0FS0 1.0
paz paz NCFS000 1.0
" " FE 1.0
. . FP 1.0
