MEXICO MEXICO NP00000 1.0
bursátil bursátil AQ0CS0 1.0
, , FC 1.0
que que PR0CN000 1.0
cerró cerrar VMIS3S0 1.0
en en SPS00 1.0
5.663,96 5663.96  1.0
puntos punto NCMP000 1.0
. . FP 1.0
Se se P0000000 1.0
efectuaron efectuar VMIS3P0 1.0
143 143  1.0
operaciones operación NCFP000 1.0
por por SPS00 1.0
1.537.896.862.75 153789686275  1.0
bolívares bolívar ZM 1.0
( ( FPA 1.0
2,28 2.28  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
dólares dólar ZM 1.0
) ) FPT 1.0
, , FC 1.0
en en SPS00 1.0
las el DA0FP0 1.0
que que PR0CN000 1.0
cambiaron cambiar VMIS3P0 1.0
de de SPS00 1.0
mano mano NCFS000 1.0
8.715.160 8715160  1.0
acciones acción NCFP000 1.0
y y CC 1.0
dos dos PN0CP000 1.0
subieron subir VMIS3P0 1.0
, , FC 1.0
siete siete PN0CP000 1.0
bajaron bajar VMIS3P0 1.0
y y CC 1.0
15 15  1.0
se él P0300000 1.0
mantuvieron mantener VMIS3P0 1.0
estables estable AQ0CP0 1.0
. . FP 1.0
Destacaron destacar VMIS3P0 1.0
las el DA0FP0 1.0
57 57  1.0
operaciones operación NCFP000 1.0
por por SPS00 1.0
1.014.630.448,55 1014630448.55  1.0
bolívares bolívar ZM 1.0
( ( FPA 1.0
1,5 1.5  1.0
millones millón NCMP000 1.0
de de SPS00 1.0
dólares dólar ZM 1.0
) ) FPT 1.0
con con SPS00 1.0
títulos título NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
Electricidad_de_Caracas Electricidad_de_Caracas NP00000 1.0
, , FC 1.0
que que PR0CN000 1.0
cerraron cerrar VMIS3P0 1.0
en en SPS00 1.0
185,00 185.00  1.0
bolívares bolívar ZM 1.0
, , FC 1.0
un uno DI0MS0 1.0
0,54_por_ciento 0,54_por_ciento ZP 1.0
por_debajo_del por_debajo_del SPCMS 1.0
precio precio NCMS000 1.0
de de SPS00 1.0
apertura apertura NCFS000 1.0
. . FP 1.0
También también RG 1.0
se se P0000000 1.0
registraron registrar VMIS3P0 1.0
27 27  1.0
operaciones operación NCFP000 1.0
por por SPS00 1.0
39.025.287,00 39025287.00  1.0
bolívares bolívar ZM 1.0
( ( FPA 1.0
58.000 58000  1.0
dólares dólar ZM 1.0
) ) FPT 1.0
con con SPS00 1.0
papeles papel NCMP000 1.0
de de SPS00 1.0
la el DA0FS0 1.0
Compañía_Anónima_Nacional_Teléfonos_de_Venezuela Compañía_Anónima_Nacional_Teléfonos_de_Venezuela NP00000 1.0
( ( FPA 1.0
CANTV CANTV NP00000 1.0
) ) FPT 1.0
, , FC 1.0
que que PR0CN000 1.0
cerraron cerrar VMIS3P0 1.0
en en SPS00 1.0
2.915,00 2915.00  1.0
bolívares bolívar ZM 1.0
, , FC 1.0
un uno DI0MS0 1.0
0,85_por_ciento 0,85_por_ciento ZP 1.0
por_debajo_del por_debajo_del SPCMS 1.0
precio precio NCMS000 1.0
de de SPS00 1.0
apertura apertura NCFS000 1.0
. . FP 1.0
