INFORMACIÓN_GENERAL información_general NP00000 1.0
proceso proceso NCMS000 0.9991007194244603
de de SP 0.9999614754213187
entrada entrada NCFS000 0.99800796812749
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
información información NCFS000 1.0
a a SP 0.9987754021314622
medios medio NCMP000 0.99734395750332
magnéticos magnético AQ0MP00 1.0
, , Fc 1.0
cambiándose cambiar VMG0000 1.0
el el DA0MS0 1.0
sistema sistema NCMS000 1.0
anterior anterior AQ0CS00 1.0
de de SP 0.9999614754213187
entrada entrada NCFS000 0.99800796812749
masiva masivo AQ0FS00 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
información información NCFS000 1.0
con con SP 1.0
digitadores digitadores NCMP000 0.9459441257828882
especializados especializar VMP00PM 1.0
a a SP 0.9987754021314622
una uno DI0FS0 0.9519732400417357
entrada entrada NCFS000 0.99800796812749
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
información información NCFS000 1.0
con con SP 1.0
personal personal NCMS000 0.7111486486486487
que que PR0CN00 0.5501392534733338
realiza realizar VMIP3S0 0.9918032786885246
a a SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
tiempo tiempo NCMS000 1.0
la el DA0FS0 0.9892597806068348
crítica crítica NCFS000 0.4387351778656126
y y CC 0.9999892786688395
el el DA0MS0 1.0
análisis análisis NCMN000 1.0
, , Fc 1.0
lográndose lograr VMG0000 1.0
una uno DI0FS0 0.9519732400417357
mejora mejora NCFS000 0.9408866995073892
en en SP 1.0
la el DA0FS0 0.9892597806068348
calidad calidad NCFS000 1.0
de de SP 0.9999614754213187
este este DD0MS0 0.9492011470708727
procedimiento procedimiento NCMS000 1.0
y y CC 0.9999892786688395
la el DA0FS0 0.9892597806068348
reducción reducción NCFS000 1.0
de de SP 0.9999614754213187
errores error NCMP000 1.0
en en SP 1.0
esta este DD0FS0 0.9788165266106442
etapa etapa NCFS000 1.0
. . Fp 1.0
Este este DD0MS0 0.9492011470708727
cambio cambio NCMS000 0.9987046632124351
en en SP 1.0
el el DA0MS0 1.0
procesamiento procesamiento NCMS000 1.0
determinó determinar VMIS3S0 1.0
un uno DI0MS0 0.9969803144161175
tiempo tiempo NCMS000 1.0
inicial inicial AQ0CS00 0.8385416666666667
de de SP 0.9999614754213187
acomodamiento acomodamiento NCMS000 1.0
a a SP 0.9987754021314622
las el DA0FP0 0.9881835086975967
nuevas nuevo AQ0FP00 0.998891352549889
funciones función NCFP000 0.994186046511628
que que PR0CN00 0.5501392534733338
redundó redundar VMIS3S0 1.0
en en SP 1.0
mayores mayor AQ0CP00 0.9776422764227642
plazos plazo NCMP000 1.0
a a SP 0.9987754021314622
los el DA0MP0 0.9927281155389451
anteriores anterior AQ0CP00 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
ya ya RG 0.9997850386930354
se se P00CN00 0.494508864850837
ha haber VAIP3S0 0.9998889074043215
normalizado normalizar VMP00SM 1.0
. . Fp 1.0
. . Fp 1.0
En en SP 1.0
tercer 3 AO0MS00 1.0
lugar lugar NCMS000 1.0
, , Fc 1.0
las el DA0FP0 0.9881835086975967
tareas tarea NCFP000 1.0
relativas relativo AQ0FP00 1.0
a a SP 1.0
el el DA0MS0 1.0
Censo_de_Población censo_de_población NP00000 1.0
requirieron requerir VMIS3P0 1.0
que que CS 0.5501392534733338
, , Fc 1.0
fundamentalmente fundamentalmente RG 1.0
en en SP 1.0
los el DA0MP0 0.9927281155389451
meses mes NCMP000 0.9994356659142213
de de SP 0.9999614754213187
marzo [??:??/3/??:??.??:??] W 1.0
a a SP 0.9987754021314622
junio [??:??/6/??:??.??:??] W 1.0
pasados pasar VMP00PM 0.5487818217930236
, , Fc 1.0
personal personal AQ0CS00 0.7111486486486487
de de SP 0.9999614754213187
experiencia experiencia NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
Encuesta_Continua_de_Hogares encuesta_continua_de_hogares NP00000 1.0
pasara pasar VMSI3S0 0.5900000027872445
a a SP 0.9987754021314622
apoyar apoyar VMN0000 1.0
puntualmente puntualmente RG 1.0
las el DA0FP0 0.9881835086975967
tareas tarea NCFP000 1.0
censales censal AQ0CP00 0.640629951524805
, , Fc 1.0
determinando determinar VMG0000 1.0
una uno DI0FS0 0.9519732400417357
merma merma NCFS000 0.7246555102392704
en en SP 1.0
los el DA0MP0 0.9927281155389451
recursos recurso NCMP000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
ECH ech NP00000 1.0
durante durante SP 1.0
dichos decir VMP00PM 0.976190476190476
meses mes NCMP000 0.9994356659142213
. . Fp 1.0
Es ser VSIP3S0 1.0
importante importante AQ0CS00 1.0
destacar destacar VMN0000 1.0
que que CS 0.5501392534733338
el el DA0MS0 1.0
INE ine NP00000 1.0
mantuvo mantener VMIS3S0 1.0
, , Fc 1.0
aun aun RG 0.8703703703703703
durante durante SP 1.0
los el DA0MP0 0.9927281155389451
períodos período NCMP000 1.0
de de SP 0.9999614754213187
mayor mayor AQ0CS00 0.9995004995004996
demanda demanda NCFS000 0.9678284182305631
de de SP 0.9999614754213187
personal personal NCMS000 0.7111486486486487
de de SP 1.0
el el DA0MS0 1.0
Censo_de_Población censo_de_población NP00000 1.0
, , Fc 1.0
el el DA0MS0 1.0
relevamiento relevamiento NCMS000 0.9968860512921117
en en SP 1.0
forma forma NCFS000 0.987798114254021
continua continuo AQ0FS00 1.0
, , Fc 1.0
evitando evitar VMG0000 1.0
tener tener VMN0000 1.0
que que CS 0.5501392534733338
discontinuar discontinuar VMN0000 1.0
las el DA0FP0 0.9881835086975967
series serie NCFP000 0.998102981027102
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
ECH ech NP00000 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
bien bien RG 0.8760880696364567
el el DA0MS0 1.0
relevamiento relevamiento NCMS000 0.9968860512921117
se se P00CN00 0.494508864850837
mantuvo mantener VMIS3S0 1.0
, , Fc 1.0
las el DA0FP0 0.9881835086975967
tareas tarea NCFP000 1.0
posteriores posterior AQ0CP00 1.0
de de SP 0.9999614754213187
procesamiento procesamiento NCMS000 1.0
en en SP 1.0
oficina oficina NCFS000 1.0
se se P00CN00 0.494508864850837
vieron ver VMIS3P0 1.0
resentidas resentir VMP00PF 0.5719354579079987
. . Fp 1.0
. . Fp 1.0
1 1 Z 1.0
. . Fp 1.0
Actividad actividad NP00000 0.66898416616338
, , Fc 1.0
empleo empleo NCMS000 0.9985754985754984
y y CC 0.9999892786688395
desempleo desempleo NCMS000 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
estimación estimación NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
de de SP 0.9999614754213187
actividad actividad NCFS000 1.0
muestra mostrar VMIP3S0 0.598233995584989
en en SP 1.0
este este DD0MS0 0.9492011470708727
trimestre trimestre NCMS000 0.9360465116279071
una uno DI0FS0 0.9519732400417357
leve leve AQ0CS00 0.9594594594594593
disminución disminución NCFS000 1.0
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
móvil móvil AQ0CS00 0.7651515151515151
anterior anterior AQ0CS00 1.0
. . Fp 1.0
Esta este DD0FS0 0.9788165266106442
baja baja NCFS000 0.5247252747252747
es ser VSIP3S0 1.0
resultado resultar VMP00SM 0.9248768472906403
de de SP 0.9999614754213187
una uno DI0FS0 0.9519732400417357
baja baja NCFS000 0.5247252747252747
en en SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
ya_que ya_que CS 1.0
el el DA0MS0 1.0
desempleo desempleo NCMS000 1.0
sube subir VMIP3S0 0.9807692307692306
. . Fp 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
comparamos comparar VMIP1P0 0.6499999888176722
dichas decir VMP00PF 0.9807692307692306
tasas tasa NCFP000 0.9910714285714286
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
trimestre trimestre NCMS000 0.9360465116279071
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
, , Fc 1.0
hay haber VMIP3S0 1.0
también también RG 1.0
un uno DI0MS0 0.9969803144161175
descenso descenso NCMS000 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
actividad actividad NCFS000 1.0
y y CC 0.9999892786688395
también también RG 1.0
en en SP 1.0
este este DD0MS0 0.9492011470708727
caso caso NCMS000 0.9994450610432852
, , Fc 1.0
como como CS 0.9671530369867661
consecuencia consecuencia NCFS000 1.0
de de SP 0.9999614754213187
una uno DI0FS0 0.9519732400417357
baja baja NCFS000 0.5247252747252747
en en SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
. . Fp 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
distribución distribución NCFS000 1.0
de de SP 0.9999614754213187
las el DA0FP0 0.9881835086975967
personas persona NCFP000 0.9995854063018242
ocupadas ocupar VMP00PF 1.0
por por SP 1.0
sector sector NCMS000 1.0
de de SP 0.9999614754213187
actividad actividad NCFS000 1.0
registra registrar VMIP3S0 0.9878048780487805
una uno DI0FS0 0.9519732400417357
disminución disminución NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
participación participación NCFS000 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
industria industria NCFS000 0.9939939939939941
manufacturera manufacturero AQ0FS00 1.0
situándose situar VMG0000 1.0
en en SP 1.0
16,7_% 16.7/100 Zp 1.0
y y CC 0.9999892786688395
un uno DI0MS0 0.9969803144161175
aumento aumento NCMS000 0.9981884057971014
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
correspondiente correspondiente AQ0CS00 0.993421052631579
a a SP 1.0
el el DA0MS0 1.0
sector sector NCMS000 1.0
comercio comercio NCMS000 0.9966887417218544
que que PR0CN00 0.5501392534733338
alcanza alcanzar VMIP3S0 0.994186046511628
en en SP 1.0
este este DD0MS0 0.9492011470708727
trimestre trimestre NCMS000 0.9360465116279071
a a SP 1.0
el el DA0MS0 1.0
22,2_% 22.2/100 Zp 1.0
. . Fp 1.0
. . Fp 1.0
Si si CS 0.9998273480662982
observamos observar VMIP1P0 0.6499999945741679
las el DA0FP0 0.9881835086975967
tasas tasa NCFP000 0.9910714285714286
específicas específico AQ0FP00 1.0
de de SP 0.9999614754213187
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
se se P00CN00 0.494508864850837
aprecia apreciar VMIP3S0 0.9892405063289786
que que CS 0.5501392534733338
la el DA0FS0 0.9892597806068348
baja baja NCFS000 0.5247252747252747
en en SP 1.0
el el DA0MS0 1.0
empleo empleo NCMS000 0.9985754985754984
se se P00CN00 0.494508864850837
da dar VMIP3S0 0.9985549132947976
principalmente principalmente RG 1.0
en en SP 1.0
los el DA0MP0 0.9927281155389451
mayores mayor AQ0CP00 0.9776422764227642
de de SP 0.9999614754213187
25 25 Z 1.0
años año NCMP000 1.0
de de SP 0.9999614754213187
ambos ambos DI0MP0 0.5262605042016807
sexos sexo NCMP000 1.0
, , Fc 1.0
situándose situar VMG0000 1.0
en en SP 1.0
este este DD0MS0 0.9492011470708727
trimestre trimestre NCMS000 0.9360465116279071
en en SP 1.0
71,7_% 71.7/100 Zp 1.0
y y CC 0.9999892786688395
44,8_% 44.8/100 Zp 1.0
para para SP 0.9998335884976369
hombres hombre NCMP000 1.0
y y CC 0.9999892786688395
mujeres mujer NCFP000 1.0
de de SP 0.9999614754213187
ese ese DD0MS0 0.9666940789473685
grupo grupo NCMS000 1.0
etario etario NCMS000 0.9637039614542893
, , Fc 1.0
respectivamente respectivamente RG 1.0
. . Fp 1.0
. . Fp 1.0
El el DA0MS0 1.0
promedio promedio NCMS000 0.9918032786885246
de de SP 0.9999614754213187
horas hora NCFP000 1.0
trabajadas trabajar VMP00PF 1.0
a a SP 0.9987754021314622
la el DA0FS0 0.9892597806068348
semana semana NCFS000 1.0
se se P00CN00 0.494508864850837
mantiene mantener VMIP3S0 1.0
en en SP 1.0
41,1_horas TM_h:41.1 Zu 1.0
, , Fc 1.0
igual igual RG 0.5924932975871314
que que CS 0.5501392534733338
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
, , Fc 1.0
y y CC 0.9999892786688395
casi casi RG 1.0
una uno DI0FS0 0.9519732400417357
hora hora NCFS000 1.0
menos menos RG 0.9906937394247038
que que CS 0.5501392534733338
igual igual AQ0CS00 0.5924932975871314
período período NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
En en SP 1.0
este este DD0MS0 0.9492011470708727
trimestre trimestre NCMS000 0.9360465116279071
se se P00CN00 0.494508864850837
estima estimar VMIP3S0 0.7246837099659336
que que CS 0.5501392534733338
el el DA0MS0 1.0
87,5_% 87.5/100 Zp 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
ocupados ocupar VMP00PM 1.0
tienen tener VMIP3P0 1.0
un uno DI0MS0 0.9969803144161175
solo solo AQ0MS00 0.7875288683602772
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
superando superar VMG0000 1.0
en en SP 1.0
casi casi RG 1.0
un uno DI0MS0 0.9969803144161175
punto punto NCMS000 1.0
porcentual porcentual AQ0CS00 1.0
a a SP 1.0
el el DA0MS0 1.0
trimestre trimestre NCMS000 0.9360465116279071
anterior anterior AQ0CS00 1.0
e y CC 0.987993803253292
igual igual AQ0CS00 0.5924932975871314
período período NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
, , Fc 1.0
bajando bajar VMG0000 1.0
en en SP 1.0
la el DA0FS0 0.9892597806068348
misma mismo AQ0FS00 0.8168402777777777
proporción proporción NCFS000 1.0
los el DA0MP0 0.9927281155389451
que que PR0CN00 0.5501392534733338
declaran declarar VMIP3P0 1.0
tener tener VMN0000 1.0
dos 2 Z 0.9998684556695606
empleos empleo NCMP000 1.0
. . Fp 1.0
. . Fp 1.0
En_cuanto_a en_cuanto_a SP 1.0
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
de de SP 0.9999614754213187
desempleo desempleo NCMS000 1.0
, , Fc 1.0
se se P00CN00 0.494508864850837
observa observar VMIP3S0 0.9892405063291139
que que CS 0.5501392534733338
la lo PP3FSA0 0.9892597806068348
suba subir VMSP3S0 0.49397590361445776
de de SP 0.9999614754213187
medio medio AQ0MS00 0.7050970873786407
punto punto NCMS000 1.0
porcentual porcentual AQ0CS00 1.0
es ser VSIP3S0 1.0
consecuencia consecuencia NCFS000 1.0
, , Fc 1.0
principalmente principalmente RG 1.0
, , Fc 1.0
de de SP 1.0
el el DA0MS0 1.0
incremento incremento NCMS000 0.9980842911877394
en en SP 1.0
los el DA0MP0 0.9927281155389451
hombres hombre NCMP000 1.0
mayores mayor AQ0CP00 0.9776422764227642
de de SP 0.9999614754213187
24 24 Z 1.0
años año NCMP000 1.0
, , Fc 1.0
que que PR0CN00 0.5501392534733338
ya ya RG 0.9997850386930354
han haber VAIP3P0 0.999844768705371
tenido tener VMP00SM 1.0
una uno DI0FS0 0.9519732400417357
experiencia experiencia NCFS000 1.0
de de SP 0.9999614754213187
trabajo trabajo NCMS000 0.9757683215130024
anterior anterior AQ0CS00 1.0
y y CC 0.9999892786688395
son ser VSIP3P0 0.9951967063129004
jefes jefe NCCP000 1.0
de de SP 0.9999614754213187
hogar hogar NCMS000 1.0
. . Fp 1.0
. . Fp 1.0
En en SP 1.0
este este DD0MS0 0.9492011470708727
trimestre trimestre NCMS000 0.9360465116279071
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
específica específico AQ0FS00 1.0
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
jefes jefe NCCP000 1.0
de de SP 0.9999614754213187
hogar hogar NCMS000 1.0
se se P00CN00 0.494508864850837
sitúa situar VMIP3S0 0.9929577464788732
en en SP 1.0
5,8_% 5.8/100 Zp 1.0
. . Fp 1.0
. . Fp 1.0
Analizando analizar VMG0000 1.0
el el DA0MS0 1.0
desempleo desempleo NCMS000 1.0
por por SP 1.0
sector sector NCMS000 1.0
de de SP 0.9999614754213187
actividad actividad NCFS000 1.0
, , Fc 1.0
se se P00CN00 0.494508864850837
observa observar VMIP3S0 0.9892405063291139
que que CS 0.5501392534733338
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
específica específico AQ0FS00 1.0
de de SP 0.9999614754213187
la el DA0FS0 0.9892597806068348
industria industria NCFS000 0.9939939939939941
manufacturera manufacturero AQ0FS00 1.0
experimenta experimentar VMIP3S0 0.9892345312459365
un uno DI0MS0 0.9969803144161175
aumento aumento NCMS000 0.9981884057971014
de de SP 0.9999614754213187
un uno DI0MS0 0.9969803144161175
punto punto NCMS000 1.0
porcentual porcentual AQ0CS00 1.0
, , Fc 1.0
situándose situar VMG0000 1.0
en en SP 1.0
15_% 15/100 Zp 1.0
. . Fp 1.0
La el DA0FS0 0.9892597806068348
construcción construcción NCFS000 1.0
y y CC 0.9999892786688395
el el DA0MS0 1.0
comercio comercio NCMS000 0.9966887417218544
siguen seguir VMIP3P0 1.0
en en SP 1.0
orden orden NCCS000 1.0
de de SP 0.9999614754213187
importancia importancia NCFS000 1.0
con con SP 1.0
12,7_% 12.7/100 Zp 1.0
y y CC 0.9999892786688395
12,5_% 12.5/100 Zp 1.0
respectivamente respectivamente RG 1.0
, , Fc 1.0
transporte transporte NCMS000 0.9901315789473685
y y CC 0.9999892786688395
comunicaciones comunicación NCFP000 1.0
y y CC 0.9999892786688395
servicios servicio NCMP000 1.0
personales personal AQ0CP00 0.9896373056994819
y y CC 0.9999892786688395
públicos público AQ0MP00 0.974537037037037
en_torno_de en_torno_de SP 1.0
el el DA0MS0 1.0
8_% 8/100 Zp 1.0
, , Fc 1.0
correspondiendo corresponder VMG0000 1.0
la el DA0FS0 0.9892597806068348
tasa tasa NCFS000 0.9936102236421726
menor menor AQ0CS00 0.9771784232365145
a a SP 0.9987754021314622
banca banca NCFS000 1.0
, , Fc 1.0
finanzas finanzas NCFP000 1.0
y y CC 0.9999892786688395
servicios servicio NCMP000 1.0
a a SP 0.9987754021314622
empresas empresa NCFP000 1.0
con con SP 1.0
un uno DI0MS0 0.9969803144161175
6_% 6/100 Zp 1.0
. . Fp 1.0
. . Fp 1.0
Respecto_a respecto_a SP 1.0
las el DA0FP0 0.9881835086975967
condiciones condición NCFP000 0.9984177215189873
requeridas requerir VMP00PF 1.0
por por SP 1.0
los el DA0MP0 0.9927281155389451
que que PR0CN00 0.5501392534733338
buscan buscar VMIP3P0 1.0
empleo empleo NCMS000 0.9985754985754984
, , Fc 1.0
el el DA0MS0 1.0
mayor mayor AQ0CS00 0.9995004995004996
porcentaje porcentaje NCMS000 1.0
corresponde corresponder VMIP3S0 0.9961832061068703
a a SP 0.9987754021314622
los el DA0MP0 0.9927281155389451
que que PR0CN00 0.5501392534733338
no no RN 0.9992965295457591
ponen poner VMIP3P0 1.0
condiciones condición NCFP000 0.9984177215189873
( ( Fpa 1.0
45_% 45/100 Zp 1.0
) ) Fpt 1.0
, , Fc 1.0
siete 7 Z 1.0
puntos punto NCMP000 1.0
porcentuales porcentual AQ0CP00 1.0
más más RG 0.9999299817952667
que que CS 0.5501392534733338
en en SP 1.0
el el DA0MS0 1.0
mismo mismo AQ0MS00 0.8022083533365337
período período NCMS000 1.0
de de SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
El el DA0MS0 1.0
29,3_% 29.3/100 Zp 1.0
buscan buscar VMIP3P0 1.0
un uno DI0MS0 0.9969803144161175
empleo empleo NCMS000 0.9985754985754984
acorde acorde AQ0CS00 0.6386407239583621
a a SP 0.9987754021314622
conocimiento conocimiento NCMS000 1.0
o o CC 0.9998636115657392
experiencia experiencia NCFS000 1.0
, , Fc 1.0
manteniéndose mantener VMG0000 1.0
en en SP 1.0
niveles nivel NCMP000 0.9878048780487805
similares similar AQ0CP00 1.0
a a SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
, , Fc 1.0
en_tanto_que en_tanto_que CS 1.0
los el DA0MP0 0.9927281155389451
que que PR0CN00 0.5501392534733338
plantean plantear VMIP3P0 1.0
limitaciones limitación NCFP000 1.0
de de SP 0.9999614754213187
horario horario NCMS000 0.9838709677419354
o o CC 0.9998636115657392
una uno DI0FS0 0.9519732400417357
remuneración remuneración NCFS000 1.0
adecuada adecuar VMP00SF 1.0
se se P00CN00 0.494508864850837
han haber VAIP3P0 0.999844768705371
equilibrado equilibrar VMP00SM 0.6237468445654336
, , Fc 1.0
ambos ambos DI0MP0 0.5262605042016807
requerimientos requerimiento NCMP000 1.0
alrededor_de alrededor_de SP 1.0
el el DA0MS0 1.0
11_% 11/100 Zp 1.0
, , Fc 1.0
presentando presentar VMG0000 1.0
evoluciones evolución NCFP000 0.9981029810298103
diferentes diferente AQ0CP00 0.5171821305841925
respecto_a respecto_a SP 1.0
el el DA0MS0 1.0
año año NCMS000 1.0
anterior anterior AQ0CS00 1.0
. . Fp 1.0
. . Fp 1.0
2 2 Z 1.0
. . Fp 1.0
Ingresos ingresos NP00000 0.66898416616338
. . Fp 1.0
El el DA0MS0 1.0
ingreso ingreso NCMS000 0.986111111111111
promedio promedio NCMS000 0.9918032786885246
de de SP 0.9999614754213187
los el DA0MP0 0.9927281155389451
hogares hogar NCMP000 1.0
montevideanos montevideano AQ0MP00 0.6611661945498111
se se P00CN00 0.494508864850837
estimó estimar VMIS3S0 1.0
en en SP 1.0
$ $ Fz 1.0
9600 9600 Z 1.0
, , Fc 1.0
sin sin SP 1.0
considerar considerar VMN0000 1.0
el el DA0MS0 1.0
valor valor NCMS000 1.0
locativo locativo AQ0MS00 0.6612582930035182
, , Fc 1.0
lo el DA00S0 0.6651648430236716
que que PR0CN00 0.5501392534733338
implica implicar VMIP3S0 0.993421052631579
